,Year,County,Unemployment Rate,Region
167,2011,Tehama,14.98333333,"Tehama County, CA"
168,2011,Trinity,16.73333333,"Trinity County, CA"
169,2011,Tulare,17.1,"Tulare County, CA"
170,2011,Tuolumne,14.45,"Tuolumne County, CA"
171,2011,Ventura,10.25,"Ventura County, CA"
172,2011,Yolo,11.76666667,"Yolo County, CA"
173,2011,Yuba,16.96666667,"Yuba County, CA"
174,2012,Alameda,8.7,"Alameda County, CA"
175,2012,Alpine,11.41666667,"Alpine County, CA"
176,2012,Amador,12.25833333,"Amador County, CA"
177,2012,Butte,12.14166667,"Butte County, CA"
178,2012,Calaveras,12.35833333,"Calaveras County, CA"
179,2012,Colusa,20.91666667,"Colusa County, CA"
180,2012,Contra Costa,8.941666667,"Contra Costa County, CA"
181,2012,Del Norte,13.53333333,"Del Norte County, CA"
182,2012,El Dorado,10.225,"El Dorado County, CA"
183,2012,Fresno,15.14166667,"Fresno County, CA"
184,2012,Glenn,14.2,"Glenn County, CA"
185,2012,Humboldt,9.583333333,"Humboldt County, CA"
186,2012,Imperial,27.35,"Imperial County, CA"
187,2012,Inyo,9.075,"Inyo County, CA"
188,2012,Kern,13.16666667,"Kern County, CA"
189,2012,Kings,14.89166667,"Kings County, CA"
190,2012,Lake,12.79166667,"Lake County, CA"
191,2012,Lassen,12.475,"Lassen County, CA"
192,2012,Los Angeles,21.85,"Los Angeles County, CA"
193,2012,Madera,14.45,"Madera County, CA"
194,2012,Marin,6.291666667,"Marin County, CA"
195,2012,Mariposa,12.35,"Mariposa County, CA"
196,2012,Mendocino,10.04166667,"Mendocino County, CA"
197,2012,Merced,16.34166667,"Merced County, CA"
198,2012,Modoc,14.43333333,"Modoc County, CA"
199,2012,Mono,10.34166667,"Mono County, CA"
200,2012,Monterey,11.66666667,"Monterey County, CA"
201,2012,Napa,8.45,"Napa County, CA"
202,2012,Nevada,9.741666667,"Nevada County, CA"
203,2012,Orange,0,"Orange County, CA"
204,2012,Placer,9.358333333,"Placer County, CA"
205,2012,Plumas,16.23333333,"Plumas County, CA"
206,2012,Riverside,11.63333333,"Riverside County, CA"
207,2012,Sacramento,10.5,"Sacramento County, CA"
208,2012,San Benito,13.05833333,"San Benito County, CA"
209,2012,San Bernardino,11.39166667,"San Bernardino County, CA"
210,2012,San Diego,9.108333333,"San Diego County, CA"
211,2012,San Francisco,6.783333333,"San Francisco County, CA"
212,2012,San Joaquin,14.35,"San Joaquin County, CA"
213,2012,San Luis Obispo,8.258333333,"San Luis Obispo County, CA"
